Domain,Area,Element,Item,Year,Source,Unit,Value
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Drained organic soils (CO2)","2000","FAO TIER 1","kt","276.7119"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Drained organic soils (CO2)","2001","FAO TIER 1","kt","277.3331"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Drained organic soils (CO2)","2002","FAO TIER 1","kt","278.2993"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Drained organic soils (CO2)","2003","FAO TIER 1","kt","275.9122"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Drained organic soils (CO2)","2004","FAO TIER 1","kt","280.1978"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Drained organic soils (CO2)","2005","FAO TIER 1","kt","283.854"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Drained organic soils (CO2)","2006","FAO TIER 1","kt","282.5817"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Drained organic soils (CO2)","2007","FAO TIER 1","kt","282.5817"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Drained organic soils (CO2)","2008","FAO TIER 1","kt","282.5817"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Drained organic soils (CO2)","2009","FAO TIER 1","kt","284.0864"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Drained organic soils (CO2)","2010","FAO TIER 1","kt","285.305"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Drained organic soils (CO2)","2011","FAO TIER 1","kt","285.305"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Drained organic soils (CO2)","2012","FAO TIER 1","kt","285.4424"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Drained organic soils (CO2)","2013","FAO TIER 1","kt","287.2777"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Drained organic soils (CO2)","2014","FAO TIER 1","kt","287.4143"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Drained organic soils (CO2)","2015","FAO TIER 1","kt","287.4143"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Drained organic soils (CO2)","2016","FAO TIER 1","kt","287.4143"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Drained organic soils (CO2)","2017","FAO TIER 1","kt","287.4292"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Drained organic soils (CO2)","2018","FAO TIER 1","kt","286.9881"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Drained organic soils (CO2)","2019","FAO TIER 1","kt","287.6655"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Drained organic soils (CO2)","2020","FAO TIER 1","kt","287.6804"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Forestland","2000","FAO TIER 1","kt","-15381.5567"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Forestland","2001","FAO TIER 1","kt","-6414.842"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Forestland","2002","FAO TIER 1","kt","-6414.842"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Forestland","2003","FAO TIER 1","kt","-6414.842"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Forestland","2004","FAO TIER 1","kt","-6414.842"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Forestland","2005","FAO TIER 1","kt","-6414.842"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Forestland","2006","FAO TIER 1","kt","-6414.842"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Forestland","2007","FAO TIER 1","kt","-6414.842"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Forestland","2008","FAO TIER 1","kt","-6414.842"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Forestland","2009","FAO TIER 1","kt","-6414.842"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Forestland","2010","FAO TIER 1","kt","-6414.842"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Forestland","2011","FAO TIER 1","kt","-7516.8522"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Forestland","2012","FAO TIER 1","kt","-7516.8522"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Forestland","2013","FAO TIER 1","kt","-7516.8522"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Forestland","2014","FAO TIER 1","kt","-7516.8522"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Forestland","2015","FAO TIER 1","kt","-7516.8522"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Forestland","2016","FAO TIER 1","kt","-7440.2896"
"Emissions totals","Austria","Emissions (CO2eq) (AR5)","Forestland","2017","FAO TIER 1","kt","-7440.2896"
