VariableGroup,Subgroup,Variable,Area,Year,Value,Unit,Symbol,IsAggregate
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Austria,2006,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Austria,2007,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Austria,2008,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Austria,2009,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Austria,2010,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Austria,2011,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Austria,2012,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Austria,2013,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Austria,2014,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Austria,2015,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Austria,2016,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Austria,2017,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Austria,2018,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Austria,2019,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Austria,2020,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Belgium,2006,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Belgium,2007,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Belgium,2008,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Belgium,2009,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Belgium,2010,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Belgium,2011,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Belgium,2012,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Belgium,2013,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Belgium,2014,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Belgium,2015,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Belgium,2016,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Belgium,2017,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Belgium,2018,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Belgium,2019,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Belgium,2020,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Bulgaria,2006,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Bulgaria,2007,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Bulgaria,2008,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Bulgaria,2009,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Bulgaria,2010,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Bulgaria,2011,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Bulgaria,2012,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Bulgaria,2013,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Bulgaria,2014,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Bulgaria,2015,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Bulgaria,2016,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Bulgaria,2017,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Bulgaria,2018,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Bulgaria,2019,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Bulgaria,2020,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Croatia,2006,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Croatia,2007,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Croatia,2008,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Croatia,2009,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Croatia,2010,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Croatia,2011,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Croatia,2012,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Croatia,2013,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Croatia,2014,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Croatia,2015,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Croatia,2016,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Croatia,2017,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Croatia,2018,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Croatia,2019,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Croatia,2020,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Cyprus,2006,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Cyprus,2007,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Cyprus,2008,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Cyprus,2009,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Cyprus,2010,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Cyprus,2011,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Cyprus,2012,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Cyprus,2013,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Cyprus,2014,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Cyprus,2015,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Cyprus,2016,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Cyprus,2017,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Cyprus,2018,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Cyprus,2019,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Cyprus,2020,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Czechia,2006,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Czechia,2007,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Czechia,2008,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Czechia,2009,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Czechia,2010,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Czechia,2011,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Czechia,2012,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Czechia,2013,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Czechia,2014,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Czechia,2015,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Czechia,2016,99.978194505,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Czechia,2017,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Czechia,2018,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Czechia,2019,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Czechia,2020,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Denmark,2006,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Denmark,2007,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Denmark,2008,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Denmark,2009,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Denmark,2010,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Denmark,2011,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Denmark,2012,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Denmark,2013,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Denmark,2014,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Denmark,2015,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Denmark,2016,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Denmark,2017,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Denmark,2018,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Denmark,2019,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Denmark,2020,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Estonia,2006,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Estonia,2007,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Estonia,2008,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Estonia,2009,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Estonia,2010,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Estonia,2011,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Estonia,2012,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Estonia,2013,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Estonia,2014,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Estonia,2015,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Estonia,2016,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Estonia,2017,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Estonia,2018,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Estonia,2019,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Estonia,2020,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Finland,2006,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Finland,2007,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Finland,2008,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Finland,2009,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Finland,2010,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Finland,2011,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Finland,2012,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Finland,2013,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Finland,2014,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Finland,2015,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Finland,2016,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Finland,2017,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Finland,2018,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Finland,2019,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Finland,2020,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,France,2006,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,France,2007,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,France,2008,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,France,2009,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,France,2010,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,France,2011,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,France,2012,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,France,2013,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,France,2014,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,France,2015,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,France,2016,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,France,2017,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,France,2018,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,France,2019,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,France,2020,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Germany,2006,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Germany,2007,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Germany,2008,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Germany,2009,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Germany,2010,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Germany,2011,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Germany,2012,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Germany,2013,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Germany,2014,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Germany,2015,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Germany,2016,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Germany,2017,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Germany,2018,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Germany,2019,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Germany,2020,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Greece,2006,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Greece,2007,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Greece,2008,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Greece,2009,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Greece,2010,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Greece,2011,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Greece,2012,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Greece,2013,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Greece,2014,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Greece,2015,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Greece,2016,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Greece,2017,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Greece,2018,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Greece,2019,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Greece,2020,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Hungary,2006,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Hungary,2007,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Hungary,2008,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Hungary,2009,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Hungary,2010,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Hungary,2011,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Hungary,2012,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Hungary,2013,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Hungary,2014,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Hungary,2015,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Hungary,2016,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Hungary,2017,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Hungary,2018,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Hungary,2019,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Hungary,2020,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Ireland,2006,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Ireland,2007,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Ireland,2008,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Ireland,2009,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Ireland,2010,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Ireland,2011,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Ireland,2012,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Ireland,2013,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Ireland,2014,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Ireland,2015,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Ireland,2016,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Ireland,2017,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Ireland,2018,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Ireland,2019,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Ireland,2020,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Italy,2006,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Italy,2007,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Italy,2008,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Italy,2009,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Italy,2010,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Italy,2011,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Italy,2012,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Italy,2013,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Italy,2014,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Italy,2015,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Italy,2016,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Italy,2017,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Italy,2018,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Italy,2019,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Italy,2020,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Latvia,2006,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Latvia,2007,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Latvia,2008,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Latvia,2009,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Latvia,2010,100,%,E,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Latvia,2011,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Latvia,2012,100,%,I,False
Irrigation and drainage development,Area under agricultural water management,% of agricultural water managed area equipped for irrigation,Latvia,2013,100,%,E,False
