Domain,Area,Element,Item,Year,Source,Unit,Value
"Emissions totals","Austria","Emissions (CH4)","Burning - Crop residues","2006","FAO TIER 1","kt","0.7966"
"Emissions totals","Austria","Emissions (N2O)","Burning - Crop residues","2006","FAO TIER 1","kt","0.0207"
"Emissions totals","Austria","Emissions (CH4)","Burning - Crop residues","2007","FAO TIER 1","kt","0.8386"
"Emissions totals","Austria","Emissions (N2O)","Burning - Crop residues","2007","FAO TIER 1","kt","0.0217"
"Emissions totals","Austria","Emissions (CH4)","Burning - Crop residues","2008","FAO TIER 1","kt","0.9047"
"Emissions totals","Austria","Emissions (N2O)","Burning - Crop residues","2008","FAO TIER 1","kt","0.0235"
"Emissions totals","Austria","Emissions (CH4)","Burning - Crop residues","2009","FAO TIER 1","kt","0.8745"
"Emissions totals","Austria","Emissions (N2O)","Burning - Crop residues","2009","FAO TIER 1","kt","0.0227"
"Emissions totals","Austria","Emissions (CH4)","Burning - Crop residues","2010","FAO TIER 1","kt","0.8701"
"Emissions totals","Austria","Emissions (N2O)","Burning - Crop residues","2010","FAO TIER 1","kt","0.0226"
"Emissions totals","Austria","Emissions (CH4)","Burning - Crop residues","2011","FAO TIER 1","kt","0.9149"
"Emissions totals","Austria","Emissions (N2O)","Burning - Crop residues","2011","FAO TIER 1","kt","0.0237"
"Emissions totals","Austria","Emissions (CH4)","Burning - Crop residues","2012","FAO TIER 1","kt","0.926"
"Emissions totals","Austria","Emissions (N2O)","Burning - Crop residues","2012","FAO TIER 1","kt","0.024"
"Emissions totals","Austria","Emissions (CH4)","Burning - Crop residues","2013","FAO TIER 1","kt","0.8662"
"Emissions totals","Austria","Emissions (N2O)","Burning - Crop residues","2013","FAO TIER 1","kt","0.0225"
"Emissions totals","Austria","Emissions (CH4)","Burning - Crop residues","2014","FAO TIER 1","kt","0.9131"
"Emissions totals","Austria","Emissions (N2O)","Burning - Crop residues","2014","FAO TIER 1","kt","0.0237"
"Emissions totals","Austria","Emissions (CH4)","Burning - Crop residues","2015","FAO TIER 1","kt","0.8368"
"Emissions totals","Austria","Emissions (N2O)","Burning - Crop residues","2015","FAO TIER 1","kt","0.0217"
"Emissions totals","Austria","Emissions (CH4)","Burning - Crop residues","2016","FAO TIER 1","kt","0.8675"
"Emissions totals","Austria","Emissions (N2O)","Burning - Crop residues","2016","FAO TIER 1","kt","0.0225"
"Emissions totals","Austria","Emissions (CH4)","Burning - Crop residues","2017","FAO TIER 1","kt","0.8842"
"Emissions totals","Austria","Emissions (N2O)","Burning - Crop residues","2017","FAO TIER 1","kt","0.0229"
"Emissions totals","Austria","Emissions (CH4)","Burning - Crop residues","2018","FAO TIER 1","kt","0.8846"
"Emissions totals","Austria","Emissions (N2O)","Burning - Crop residues","2018","FAO TIER 1","kt","0.0229"
"Emissions totals","Austria","Emissions (CH4)","Burning - Crop residues","2019","FAO TIER 1","kt","0.8965"
"Emissions totals","Austria","Emissions (N2O)","Burning - Crop residues","2019","FAO TIER 1","kt","0.0232"
"Emissions totals","Austria","Emissions (CH4)","Burning - Crop residues","2020","FAO TIER 1","kt","0.8754"
