Domain,Area,Element,Item,Year,Value
"Cropland Nutrient Balance","European Union (27)","Cropland nitrogen use efficiency","Nutrient balance","1961","37.5033"
"Cropland Nutrient Balance","European Union (27)","Cropland phosphorus use efficiency","Nutrient balance","1961","27.0909"
"Cropland Nutrient Balance","European Union (27)","Cropland potassium use efficiency","Nutrient balance","1961","23.6007"
"Cropland Nutrient Balance","European Union (27)","Cropland nitrogen use efficiency","Nutrient balance","1962","37.71"
"Cropland Nutrient Balance","European Union (27)","Cropland phosphorus use efficiency","Nutrient balance","1962","26.5456"
"Cropland Nutrient Balance","European Union (27)","Cropland potassium use efficiency","Nutrient balance","1962","23.3698"
"Cropland Nutrient Balance","European Union (27)","Cropland nitrogen use efficiency","Nutrient balance","1963","37.2333"
"Cropland Nutrient Balance","European Union (27)","Cropland phosphorus use efficiency","Nutrient balance","1963","26.732"
"Cropland Nutrient Balance","European Union (27)","Cropland potassium use efficiency","Nutrient balance","1963","24.7957"
"Cropland Nutrient Balance","European Union (27)","Cropland nitrogen use efficiency","Nutrient balance","1964","36.6232"
"Cropland Nutrient Balance","European Union (27)","Cropland phosphorus use efficiency","Nutrient balance","1964","25.0557"
"Cropland Nutrient Balance","European Union (27)","Cropland potassium use efficiency","Nutrient balance","1964","24.7008"
"Cropland Nutrient Balance","European Union (27)","Cropland nitrogen use efficiency","Nutrient balance","1965","35.3749"
"Cropland Nutrient Balance","European Union (27)","Cropland phosphorus use efficiency","Nutrient balance","1965","24.962"
"Cropland Nutrient Balance","European Union (27)","Cropland potassium use efficiency","Nutrient balance","1965","23.1443"
"Cropland Nutrient Balance","European Union (27)","Cropland nitrogen use efficiency","Nutrient balance","1966","34.171"
"Cropland Nutrient Balance","European Union (27)","Cropland phosphorus use efficiency","Nutrient balance","1966","24.7071"
"Cropland Nutrient Balance","European Union (27)","Cropland potassium use efficiency","Nutrient balance","1966","23.7614"
"Cropland Nutrient Balance","European Union (27)","Cropland nitrogen use efficiency","Nutrient balance","1967","35.5057"
"Cropland Nutrient Balance","European Union (27)","Cropland phosphorus use efficiency","Nutrient balance","1967","25.5127"
"Cropland Nutrient Balance","European Union (27)","Cropland potassium use efficiency","Nutrient balance","1967","24.3255"
"Cropland Nutrient Balance","European Union (27)","Cropland nitrogen use efficiency","Nutrient balance","1968","33.5435"
"Cropland Nutrient Balance","European Union (27)","Cropland phosphorus use efficiency","Nutrient balance","1968","24.3854"
"Cropland Nutrient Balance","European Union (27)","Cropland potassium use efficiency","Nutrient balance","1968","23.8849"
