Domain,Area,Element,Item,Year,Unit,Value
"Macro Indicators","Austria","Value US$, 2015 prices","Gross Domestic Product","2006","million USD","351245.78524"
"Macro Indicators","Austria","Value US$, 2015 prices","Gross Domestic Product","2007","million USD","364338.174382"
"Macro Indicators","Austria","Value US$, 2015 prices","Gross Domestic Product","2008","million USD","369659.055341"
"Macro Indicators","Austria","Value US$, 2015 prices","Gross Domestic Product","2009","million USD","355742.951211"
"Macro Indicators","Austria","Value US$, 2015 prices","Gross Domestic Product","2010","million USD","362278.282473"
"Macro Indicators","Austria","Value US$, 2015 prices","Gross Domestic Product","2011","million USD","372866.942273"
"Macro Indicators","Austria","Value US$, 2015 prices","Gross Domestic Product","2012","million USD","375404.098889"
"Macro Indicators","Austria","Value US$, 2015 prices","Gross Domestic Product","2013","million USD","375499.844624"
"Macro Indicators","Austria","Value US$, 2015 prices","Gross Domestic Product","2014","million USD","377982.923144"
"Macro Indicators","Austria","Value US$, 2015 prices","Gross Domestic Product","2015","million USD","381817.565894"
"Macro Indicators","Austria","Value US$, 2015 prices","Gross Domestic Product","2016","million USD","389413.586442"
"Macro Indicators","Austria","Value US$, 2015 prices","Gross Domestic Product","2017","million USD","398208.774353"
"Macro Indicators","Austria","Value US$, 2015 prices","Gross Domestic Product","2018","million USD","407866.871672"
"Macro Indicators","Austria","Value US$, 2015 prices","Gross Domestic Product","2019","million USD","414055.797017"
"Macro Indicators","Austria","Value US$, 2015 prices","Gross Domestic Product","2020","million USD","387332.766442"
"Macro Indicators","Belgium","Value US$, 2015 prices","Gross Domestic Product","2006","million USD","412762.935692"
"Macro Indicators","Belgium","Value US$, 2015 prices","Gross Domestic Product","2007","million USD","427939.738211"
"Macro Indicators","Belgium","Value US$, 2015 prices","Gross Domestic Product","2008","million USD","429852.32387"
"Macro Indicators","Belgium","Value US$, 2015 prices","Gross Domestic Product","2009","million USD","421166.11286"
"Macro Indicators","Belgium","Value US$, 2015 prices","Gross Domestic Product","2010","million USD","433229.543118"
"Macro Indicators","Belgium","Value US$, 2015 prices","Gross Domestic Product","2011","million USD","440570.677939"
"Macro Indicators","Belgium","Value US$, 2015 prices","Gross Domestic Product","2012","million USD","443827.452534"
"Macro Indicators","Belgium","Value US$, 2015 prices","Gross Domestic Product","2013","million USD","445865.69546"
"Macro Indicators","Belgium","Value US$, 2015 prices","Gross Domestic Product","2014","million USD","452903.833237"
"Macro Indicators","Belgium","Value US$, 2015 prices","Gross Domestic Product","2015","million USD","462149.679344"
"Macro Indicators","Belgium","Value US$, 2015 prices","Gross Domestic Product","2016","million USD","468003.666521"
"Macro Indicators","Belgium","Value US$, 2015 prices","Gross Domestic Product","2017","million USD","475583.361607"
"Macro Indicators","Belgium","Value US$, 2015 prices","Gross Domestic Product","2018","million USD","484110.310627"
"Macro Indicators","Belgium","Value US$, 2015 prices","Gross Domestic Product","2019","million USD","494958.536416"
"Macro Indicators","Belgium","Value US$, 2015 prices","Gross Domestic Product","2020","million USD","468421.895604"
"Macro Indicators","Bulgaria","Value US$, 2015 prices","Gross Domestic Product","2006","million USD","42791.940603"
"Macro Indicators","Bulgaria","Value US$, 2015 prices","Gross Domestic Product","2007","million USD","45639.480843"
"Macro Indicators","Bulgaria","Value US$, 2015 prices","Gross Domestic Product","2008","million USD","48436.975742"
"Macro Indicators","Bulgaria","Value US$, 2015 prices","Gross Domestic Product","2009","million USD","46815.688053"
"Macro Indicators","Bulgaria","Value US$, 2015 prices","Gross Domestic Product","2010","million USD","47537.519837"
