Domain,Area,Element,Item,Year,Unit,Value
"Foreign Direct Investment (FDI)","Austria","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2007","million USD","3.848939"
"Foreign Direct Investment (FDI)","Austria","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2008","million USD","2.516725"
"Foreign Direct Investment (FDI)","Austria","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2009","million USD","1.23503"
"Foreign Direct Investment (FDI)","Austria","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2010","million USD","1.224341"
"Foreign Direct Investment (FDI)","Austria","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2014","million USD","-1.136095"
"Foreign Direct Investment (FDI)","Austria","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2015","million USD","-1.11"
"Foreign Direct Investment (FDI)","Austria","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2016","million USD","-1.092728"
"Foreign Direct Investment (FDI)","Austria","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2017","million USD","-1.078404"
"Foreign Direct Investment (FDI)","Austria","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2018","million USD","-1.057785"
"Foreign Direct Investment (FDI)","Austria","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2019","million USD","-1.043006"
"Foreign Direct Investment (FDI)","Austria","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2020","million USD","2.029107"
"Foreign Direct Investment (FDI)","Austria","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2008","million USD","-31.459056"
"Foreign Direct Investment (FDI)","Austria","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2012","million USD","-23.573631"
"Foreign Direct Investment (FDI)","Austria","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2013","million USD","4.636246"
"Foreign Direct Investment (FDI)","Austria","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2014","million USD","-21.585797"
"Foreign Direct Investment (FDI)","Austria","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2015","million USD","-2.22"
"Foreign Direct Investment (FDI)","Austria","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2016","million USD","108.859372"
"Foreign Direct Investment (FDI)","Austria","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2017","million USD","13.990616"
"Foreign Direct Investment (FDI)","Austria","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2018","million USD","-55.013792"
"Foreign Direct Investment (FDI)","Austria","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2019","million USD","7.301041"
"Foreign Direct Investment (FDI)","Austria","Value US$, 2015 prices","FDI outflows to Agriculture, Forestry and Fishing","2020","million USD","14.194852"
"Foreign Direct Investment (FDI)","Belgium","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2006","million USD","6.347239"
"Foreign Direct Investment (FDI)","Belgium","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2009","million USD","-6.077913"
"Foreign Direct Investment (FDI)","Belgium","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2014","million USD","9.002526"
"Foreign Direct Investment (FDI)","Belgium","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2015","million USD","-13.314102"
"Foreign Direct Investment (FDI)","Belgium","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2016","million USD","0.000011"
"Foreign Direct Investment (FDI)","Belgium","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2017","million USD","0.000011"
"Foreign Direct Investment (FDI)","Belgium","Value US$, 2015 prices","FDI inflows to Agriculture, Forestry and Fishing","2018","million USD","0.000011"
