Domain,Area,Element,Item,Year,Unit,Value
"Land Use","Afghanistan","Share in Cropland","Land area equipped for irrigation","2000","%","41.1"
"Land Use","Afghanistan","Share in Cropland","Land area equipped for irrigation","2001","%","41.09"
"Land Use","Afghanistan","Share in Cropland","Land area equipped for irrigation","2002","%","41.18"
"Land Use","Afghanistan","Share in Cropland","Land area equipped for irrigation","2003","%","40.69"
"Land Use","Afghanistan","Share in Cropland","Land area equipped for irrigation","2004","%","40.46"
"Land Use","Afghanistan","Share in Cropland","Land area equipped for irrigation","2005","%","40.52"
"Land Use","Afghanistan","Share in Cropland","Land area equipped for irrigation","2006","%","40.56"
"Land Use","Afghanistan","Share in Cropland","Land area equipped for irrigation","2007","%","40.54"
"Land Use","Afghanistan","Share in Cropland","Land area equipped for irrigation","2008","%","40.53"
"Land Use","Afghanistan","Share in Cropland","Land area equipped for irrigation","2009","%","40.53"
"Land Use","Afghanistan","Share in Cropland","Land area equipped for irrigation","2010","%","40.52"
"Land Use","Afghanistan","Share in Cropland","Land area equipped for irrigation","2011","%","40.53"
"Land Use","Afghanistan","Share in Cropland","Land area equipped for irrigation","2012","%","40.54"
"Land Use","Afghanistan","Share in Cropland","Land area equipped for irrigation","2013","%","40.56"
"Land Use","Afghanistan","Share in Cropland","Land area equipped for irrigation","2014","%","40.56"
"Land Use","Afghanistan","Share in Cropland","Land area equipped for irrigation","2015","%","40.56"
"Land Use","Afghanistan","Share in Cropland","Land area equipped for irrigation","2016","%","40.56"
"Land Use","Afghanistan","Share in Cropland","Land area equipped for irrigation","2017","%","40.56"
"Land Use","Afghanistan","Share in Cropland","Land area equipped for irrigation","2018","%","40.05"
"Land Use","Afghanistan","Share in Cropland","Land area equipped for irrigation","2019","%","40.05"
"Land Use","Afghanistan","Share in Cropland","Land area equipped for irrigation","2020","%","39.85"
"Land Use","Afghanistan","Share in Cropland","Land area equipped for irrigation","2021","%","39.85"
"Land Use","Albania","Share in Cropland","Land area equipped for irrigation","2000","%","48.64"
"Land Use","Albania","Share in Cropland","Land area equipped for irrigation","2001","%","49.07"
"Land Use","Albania","Share in Cropland","Land area equipped for irrigation","2002","%","49.5"
"Land Use","Albania","Share in Cropland","Land area equipped for irrigation","2003","%","50.5"
"Land Use","Albania","Share in Cropland","Land area equipped for irrigation","2004","%","50.64"
