Domain,Area,Indicator,Sex,Year,Element,Source,Unit,Value
"Employment Indicators: Rural","Austria","Employment by age, total (15+), rural areas","Total","2006","Value","Labour force survey","1000 No","1547.17"
"Employment Indicators: Rural","Austria","Employment by age, total (15+), rural areas","Total","2007","Value","Labour force survey","1000 No","1575.73"
"Employment Indicators: Rural","Austria","Employment by age, total (15+), rural areas","Total","2008","Value","Labour force survey","1000 No","1605.28"
"Employment Indicators: Rural","Austria","Employment by age, total (15+), rural areas","Total","2009","Value","Labour force survey","1000 No","1594.06"
"Employment Indicators: Rural","Austria","Employment by age, total (15+), rural areas","Total","2010","Value","Labour force survey","1000 No","1604.46"
"Employment Indicators: Rural","Austria","Employment by age, total (15+), rural areas","Total","2011","Value","Labour force survey","1000 No","1604.52"
"Employment Indicators: Rural","Austria","Employment by age, total (15+), rural areas","Total","2012","Value","Labour force survey","1000 No","1737.39"
"Employment Indicators: Rural","Austria","Employment by age, total (15+), rural areas","Total","2013","Value","Labour force survey","1000 No","1740.76"
"Employment Indicators: Rural","Austria","Employment by age, total (15+), rural areas","Total","2014","Value","Labour force survey","1000 No","1632.03"
"Employment Indicators: Rural","Austria","Employment by age, total (15+), rural areas","Total","2015","Value","Labour force survey","1000 No","1753.75"
"Employment Indicators: Rural","Austria","Employment by age, total (15+), rural areas","Total","2016","Value","Labour force survey","1000 No","1759.19"
"Employment Indicators: Rural","Austria","Employment by age, total (15+), rural areas","Total","2017","Value","Labour force survey","1000 No","1695.65"
"Employment Indicators: Rural","Austria","Employment by age, total (15+), rural areas","Total","2018","Value","Labour force survey","1000 No","1705.07"
"Employment Indicators: Rural","Austria","Employment by age, total (15+), rural areas","Total","2019","Value","Labour force survey","1000 No","1719.75"
"Employment Indicators: Rural","Austria","Employment by age, total (15+), rural areas","Total","2020","Value","Labour force survey","1000 No","1715.81"
"Employment Indicators: Rural","Austria","Labour force participation rate by age, total (15+), rural areas","Total","2006","Value","Labour force survey","1000 No","59.3"
"Employment Indicators: Rural","Austria","Labour force participation rate by age, total (15+), rural areas","Total","2007","Value","Labour force survey","1000 No","60.43"
"Employment Indicators: Rural","Austria","Labour force participation rate by age, total (15+), rural areas","Total","2008","Value","Labour force survey","1000 No","60.5"
"Employment Indicators: Rural","Austria","Labour force participation rate by age, total (15+), rural areas","Total","2009","Value","Labour force survey","1000 No","60.91"
"Employment Indicators: Rural","Austria","Labour force participation rate by age, total (15+), rural areas","Total","2010","Value","Labour force survey","1000 No","61.09"
"Employment Indicators: Rural","Austria","Labour force participation rate by age, total (15+), rural areas","Total","2011","Value","Labour force survey","1000 No","60.9"
"Employment Indicators: Rural","Austria","Labour force participation rate by age, total (15+), rural areas","Total","2012","Value","Labour force survey","1000 No","61.69"
"Employment Indicators: Rural","Austria","Labour force participation rate by age, total (15+), rural areas","Total","2013","Value","Labour force survey","1000 No","61.72"
"Employment Indicators: Rural","Austria","Labour force participation rate by age, total (15+), rural areas","Total","2014","Value","Labour force survey","1000 No","60.98"
"Employment Indicators: Rural","Austria","Labour force participation rate by age, total (15+), rural areas","Total","2015","Value","Labour force survey","1000 No","61.66"
"Employment Indicators: Rural","Austria","Labour force participation rate by age, total (15+), rural areas","Total","2016","Value","Labour force survey","1000 No","61.82"
"Employment Indicators: Rural","Austria","Labour force participation rate by age, total (15+), rural areas","Total","2017","Value","Labour force survey","1000 No","61.75"
"Employment Indicators: Rural","Austria","Labour force participation rate by age, total (15+), rural areas","Total","2018","Value","Labour force survey","1000 No","61.87"
"Employment Indicators: Rural","Austria","Labour force participation rate by age, total (15+), rural areas","Total","2019","Value","Labour force survey","1000 No","61.68"
"Employment Indicators: Rural","Austria","Labour force participation rate by age, total (15+), rural areas","Total","2020","Value","Labour force survey","1000 No","61.16"
"Employment Indicators: Rural","Austria","Employment-to-population ratio by age, total (15+), rural areas","Total","2006","Value","Labour force survey","%","57.16"
"Employment Indicators: Rural","Austria","Employment-to-population ratio by age, total (15+), rural areas","Total","2007","Value","Labour force survey","%","58.55"
"Employment Indicators: Rural","Austria","Employment-to-population ratio by age, total (15+), rural areas","Total","2008","Value","Labour force survey","%","58.79"
"Employment Indicators: Rural","Austria","Employment-to-population ratio by age, total (15+), rural areas","Total","2009","Value","Labour force survey","%","58.82"
"Employment Indicators: Rural","Austria","Employment-to-population ratio by age, total (15+), rural areas","Total","2010","Value","Labour force survey","%","59.1"
"Employment Indicators: Rural","Austria","Employment-to-population ratio by age, total (15+), rural areas","Total","2011","Value","Labour force survey","%","59.05"
"Employment Indicators: Rural","Austria","Employment-to-population ratio by age, total (15+), rural areas","Total","2012","Value","Labour force survey","%","59.84"
"Employment Indicators: Rural","Austria","Employment-to-population ratio by age, total (15+), rural areas","Total","2013","Value","Labour force survey","%","59.8"
"Employment Indicators: Rural","Austria","Employment-to-population ratio by age, total (15+), rural areas","Total","2014","Value","Labour force survey","%","58.78"
"Employment Indicators: Rural","Austria","Employment-to-population ratio by age, total (15+), rural areas","Total","2015","Value","Labour force survey","%","59.47"
"Employment Indicators: Rural","Austria","Employment-to-population ratio by age, total (15+), rural areas","Total","2016","Value","Labour force survey","%","59.69"
"Employment Indicators: Rural","Austria","Employment-to-population ratio by age, total (15+), rural areas","Total","2017","Value","Labour force survey","%","59.9"
"Employment Indicators: Rural","Austria","Employment-to-population ratio by age, total (15+), rural areas","Total","2018","Value","Labour force survey","%","60.28"
"Employment Indicators: Rural","Austria","Employment-to-population ratio by age, total (15+), rural areas","Total","2019","Value","Labour force survey","%","60.31"
"Employment Indicators: Rural","Austria","Employment-to-population ratio by age, total (15+), rural areas","Total","2020","Value","Labour force survey","%","59.44"
"Employment Indicators: Rural","Austria","Share of employment by status of employment, total, rural areas","Total","2006","Value","Labour force survey","1000 No","100"
