Domain,Area,Element,Item,Year,Unit,Value
"Livestock Patterns","Austria","Livestock units per agricultural land area","Major livestock types","2006","LSU/ha","1"
"Livestock Patterns","Austria","Livestock units per agricultural land area","Major livestock types","2007","LSU/ha","1"
"Livestock Patterns","Austria","Livestock units per agricultural land area","Major livestock types","2008","LSU/ha","1.02"
"Livestock Patterns","Austria","Livestock units per agricultural land area","Major livestock types","2009","LSU/ha","1"
"Livestock Patterns","Austria","Livestock units per agricultural land area","Major livestock types","2010","LSU/ha","1.03"
"Livestock Patterns","Austria","Livestock units per agricultural land area","Major livestock types","2011","LSU/ha","1.04"
"Livestock Patterns","Austria","Livestock units per agricultural land area","Major livestock types","2012","LSU/ha","1.02"
"Livestock Patterns","Austria","Livestock units per agricultural land area","Major livestock types","2013","LSU/ha","1.02"
"Livestock Patterns","Austria","Livestock units per agricultural land area","Major livestock types","2014","LSU/ha","1.01"
"Livestock Patterns","Austria","Livestock units per agricultural land area","Major livestock types","2015","LSU/ha","1.01"
"Livestock Patterns","Austria","Livestock units per agricultural land area","Major livestock types","2016","LSU/ha","1.03"
"Livestock Patterns","Austria","Livestock units per agricultural land area","Major livestock types","2017","LSU/ha","1.03"
"Livestock Patterns","Austria","Livestock units per agricultural land area","Major livestock types","2018","LSU/ha","1.01"
"Livestock Patterns","Austria","Livestock units per agricultural land area","Major livestock types","2019","LSU/ha","1"
"Livestock Patterns","Austria","Livestock units per agricultural land area","Major livestock types","2020","LSU/ha","1.02"
"Livestock Patterns","Belgium","Livestock units per agricultural land area","Major livestock types","2006","LSU/ha","3.15"
"Livestock Patterns","Belgium","Livestock units per agricultural land area","Major livestock types","2007","LSU/ha","3.16"
"Livestock Patterns","Belgium","Livestock units per agricultural land area","Major livestock types","2008","LSU/ha","3.13"
"Livestock Patterns","Belgium","Livestock units per agricultural land area","Major livestock types","2009","LSU/ha","3.15"
"Livestock Patterns","Belgium","Livestock units per agricultural land area","Major livestock types","2010","LSU/ha","3.19"
"Livestock Patterns","Belgium","Livestock units per agricultural land area","Major livestock types","2011","LSU/ha","3.24"
"Livestock Patterns","Belgium","Livestock units per agricultural land area","Major livestock types","2012","LSU/ha","3.22"
"Livestock Patterns","Belgium","Livestock units per agricultural land area","Major livestock types","2013","LSU/ha","3.19"
"Livestock Patterns","Belgium","Livestock units per agricultural land area","Major livestock types","2014","LSU/ha","3.15"
"Livestock Patterns","Belgium","Livestock units per agricultural land area","Major livestock types","2015","LSU/ha","3.21"
"Livestock Patterns","Belgium","Livestock units per agricultural land area","Major livestock types","2016","LSU/ha","3.04"
"Livestock Patterns","Belgium","Livestock units per agricultural land area","Major livestock types","2017","LSU/ha","3"
"Livestock Patterns","Belgium","Livestock units per agricultural land area","Major livestock types","2018","LSU/ha","3"
"Livestock Patterns","Belgium","Livestock units per agricultural land area","Major livestock types","2019","LSU/ha","2.97"
"Livestock Patterns","Belgium","Livestock units per agricultural land area","Major livestock types","2020","LSU/ha","2.98"
"Livestock Patterns","Bulgaria","Livestock units per agricultural land area","Major livestock types","2006","LSU/ha","0.22"
"Livestock Patterns","Bulgaria","Livestock units per agricultural land area","Major livestock types","2007","LSU/ha","0.23"
"Livestock Patterns","Bulgaria","Livestock units per agricultural land area","Major livestock types","2008","LSU/ha","0.22"
"Livestock Patterns","Bulgaria","Livestock units per agricultural land area","Major livestock types","2009","LSU/ha","0.21"
"Livestock Patterns","Bulgaria","Livestock units per agricultural land area","Major livestock types","2010","LSU/ha","0.18"
"Livestock Patterns","Bulgaria","Livestock units per agricultural land area","Major livestock types","2011","LSU/ha","0.17"
"Livestock Patterns","Bulgaria","Livestock units per agricultural land area","Major livestock types","2012","LSU/ha","0.17"
"Livestock Patterns","Bulgaria","Livestock units per agricultural land area","Major livestock types","2013","LSU/ha","0.16"
"Livestock Patterns","Bulgaria","Livestock units per agricultural land area","Major livestock types","2014","LSU/ha","0.16"
"Livestock Patterns","Bulgaria","Livestock units per agricultural land area","Major livestock types","2015","LSU/ha","0.16"
"Livestock Patterns","Bulgaria","Livestock units per agricultural land area","Major livestock types","2016","LSU/ha","0.16"
"Livestock Patterns","Bulgaria","Livestock units per agricultural land area","Major livestock types","2017","LSU/ha","0.17"
"Livestock Patterns","Bulgaria","Livestock units per agricultural land area","Major livestock types","2018","LSU/ha","0.17"
"Livestock Patterns","Bulgaria","Livestock units per agricultural land area","Major livestock types","2019","LSU/ha","0.17"
"Livestock Patterns","Bulgaria","Livestock units per agricultural land area","Major livestock types","2020","LSU/ha","0.18"
"Livestock Patterns","Croatia","Livestock units per agricultural land area","Major livestock types","2006","LSU/ha","0.67"
"Livestock Patterns","Croatia","Livestock units per agricultural land area","Major livestock types","2007","LSU/ha","0.64"
"Livestock Patterns","Croatia","Livestock units per agricultural land area","Major livestock types","2008","LSU/ha","0.54"
"Livestock Patterns","Croatia","Livestock units per agricultural land area","Major livestock types","2009","LSU/ha","0.56"
"Livestock Patterns","Croatia","Livestock units per agricultural land area","Major livestock types","2010","LSU/ha","0.53"
"Livestock Patterns","Croatia","Livestock units per agricultural land area","Major livestock types","2011","LSU/ha","0.53"
"Livestock Patterns","Croatia","Livestock units per agricultural land area","Major livestock types","2012","LSU/ha","0.53"
"Livestock Patterns","Croatia","Livestock units per agricultural land area","Major livestock types","2013","LSU/ha","0.43"
"Livestock Patterns","Croatia","Livestock units per agricultural land area","Major livestock types","2014","LSU/ha","0.49"
"Livestock Patterns","Croatia","Livestock units per agricultural land area","Major livestock types","2015","LSU/ha","0.48"
"Livestock Patterns","Croatia","Livestock units per agricultural land area","Major livestock types","2016","LSU/ha","0.48"
"Livestock Patterns","Croatia","Livestock units per agricultural land area","Major livestock types","2017","LSU/ha","0.49"
"Livestock Patterns","Croatia","Livestock units per agricultural land area","Major livestock types","2018","LSU/ha","0.48"
"Livestock Patterns","Croatia","Livestock units per agricultural land area","Major livestock types","2019","LSU/ha","0.48"
"Livestock Patterns","Croatia","Livestock units per agricultural land area","Major livestock types","2020","LSU/ha","0.48"
"Livestock Patterns","Cyprus","Livestock units per agricultural land area","Major livestock types","2006","LSU/ha","1.42"
"Livestock Patterns","Cyprus","Livestock units per agricultural land area","Major livestock types","2007","LSU/ha","1.5"
"Livestock Patterns","Cyprus","Livestock units per agricultural land area","Major livestock types","2008","LSU/ha","1.93"
"Livestock Patterns","Cyprus","Livestock units per agricultural land area","Major livestock types","2009","LSU/ha","1.74"
"Livestock Patterns","Cyprus","Livestock units per agricultural land area","Major livestock types","2010","LSU/ha","1.99"
"Livestock Patterns","Cyprus","Livestock units per agricultural land area","Major livestock types","2011","LSU/ha","1.93"
"Livestock Patterns","Cyprus","Livestock units per agricultural land area","Major livestock types","2012","LSU/ha","1.84"
"Livestock Patterns","Cyprus","Livestock units per agricultural land area","Major livestock types","2013","LSU/ha","1.8"
"Livestock Patterns","Cyprus","Livestock units per agricultural land area","Major livestock types","2014","LSU/ha","1.82"
"Livestock Patterns","Cyprus","Livestock units per agricultural land area","Major livestock types","2015","LSU/ha","1.57"
"Livestock Patterns","Cyprus","Livestock units per agricultural land area","Major livestock types","2016","LSU/ha","1.82"
"Livestock Patterns","Cyprus","Livestock units per agricultural land area","Major livestock types","2017","LSU/ha","1.67"
"Livestock Patterns","Cyprus","Livestock units per agricultural land area","Major livestock types","2018","LSU/ha","1.56"
"Livestock Patterns","Cyprus","Livestock units per agricultural land area","Major livestock types","2019","LSU/ha","1.65"
"Livestock Patterns","Cyprus","Livestock units per agricultural land area","Major livestock types","2020","LSU/ha","1.69"
"Livestock Patterns","Czechia","Livestock units per agricultural land area","Major livestock types","2006","LSU/ha","0.51"
"Livestock Patterns","Czechia","Livestock units per agricultural land area","Major livestock types","2007","LSU/ha","0.5"
"Livestock Patterns","Czechia","Livestock units per agricultural land area","Major livestock types","2008","LSU/ha","0.49"
"Livestock Patterns","Czechia","Livestock units per agricultural land area","Major livestock types","2009","LSU/ha","0.45"
"Livestock Patterns","Czechia","Livestock units per agricultural land area","Major livestock types","2010","LSU/ha","0.45"
"Livestock Patterns","Czechia","Livestock units per agricultural land area","Major livestock types","2011","LSU/ha","0.43"
"Livestock Patterns","Czechia","Livestock units per agricultural land area","Major livestock types","2012","LSU/ha","0.41"
"Livestock Patterns","Czechia","Livestock units per agricultural land area","Major livestock types","2013","LSU/ha","0.42"
"Livestock Patterns","Czechia","Livestock units per agricultural land area","Major livestock types","2014","LSU/ha","0.42"
"Livestock Patterns","Czechia","Livestock units per agricultural land area","Major livestock types","2015","LSU/ha","0.43"
"Livestock Patterns","Czechia","Livestock units per agricultural land area","Major livestock types","2016","LSU/ha","0.43"
"Livestock Patterns","Czechia","Livestock units per agricultural land area","Major livestock types","2017","LSU/ha","0.42"
"Livestock Patterns","Czechia","Livestock units per agricultural land area","Major livestock types","2018","LSU/ha","0.42"
"Livestock Patterns","Czechia","Livestock units per agricultural land area","Major livestock types","2019","LSU/ha","0.41"
"Livestock Patterns","Czechia","Livestock units per agricultural land area","Major livestock types","2020","LSU/ha","0.41"
"Livestock Patterns","Denmark","Livestock units per agricultural land area","Major livestock types","2006","LSU/ha","1.82"
"Livestock Patterns","Denmark","Livestock units per agricultural land area","Major livestock types","2007","LSU/ha","1.9"
"Livestock Patterns","Denmark","Livestock units per agricultural land area","Major livestock types","2008","LSU/ha","1.8"
"Livestock Patterns","Denmark","Livestock units per agricultural land area","Major livestock types","2009","LSU/ha","1.79"
"Livestock Patterns","Denmark","Livestock units per agricultural land area","Major livestock types","2010","LSU/ha","1.88"
"Livestock Patterns","Denmark","Livestock units per agricultural land area","Major livestock types","2011","LSU/ha","1.81"
"Livestock Patterns","Denmark","Livestock units per agricultural land area","Major livestock types","2012","LSU/ha","1.82"
"Livestock Patterns","Denmark","Livestock units per agricultural land area","Major livestock types","2013","LSU/ha","1.79"
"Livestock Patterns","Denmark","Livestock units per agricultural land area","Major livestock types","2014","LSU/ha","1.78"
"Livestock Patterns","Denmark","Livestock units per agricultural land area","Major livestock types","2015","LSU/ha","1.8"
"Livestock Patterns","Denmark","Livestock units per agricultural land area","Major livestock types","2016","LSU/ha","1.8"
"Livestock Patterns","Denmark","Livestock units per agricultural land area","Major livestock types","2017","LSU/ha","1.8"
"Livestock Patterns","Denmark","Livestock units per agricultural land area","Major livestock types","2018","LSU/ha","1.81"
"Livestock Patterns","Denmark","Livestock units per agricultural land area","Major livestock types","2019","LSU/ha","1.83"
"Livestock Patterns","Denmark","Livestock units per agricultural land area","Major livestock types","2020","LSU/ha","1.89"
"Livestock Patterns","Estonia","Livestock units per agricultural land area","Major livestock types","2006","LSU/ha","0.29"
"Livestock Patterns","Estonia","Livestock units per agricultural land area","Major livestock types","2007","LSU/ha","0.28"
"Livestock Patterns","Estonia","Livestock units per agricultural land area","Major livestock types","2008","LSU/ha","0.29"
"Livestock Patterns","Estonia","Livestock units per agricultural land area","Major livestock types","2009","LSU/ha","0.28"
"Livestock Patterns","Estonia","Livestock units per agricultural land area","Major livestock types","2010","LSU/ha","0.28"
"Livestock Patterns","Estonia","Livestock units per agricultural land area","Major livestock types","2011","LSU/ha","0.28"
"Livestock Patterns","Estonia","Livestock units per agricultural land area","Major livestock types","2012","LSU/ha","0.28"
"Livestock Patterns","Estonia","Livestock units per agricultural land area","Major livestock types","2013","LSU/ha","0.28"
"Livestock Patterns","Estonia","Livestock units per agricultural land area","Major livestock types","2014","LSU/ha","0.29"
"Livestock Patterns","Estonia","Livestock units per agricultural land area","Major livestock types","2015","LSU/ha","0.29"
"Livestock Patterns","Estonia","Livestock units per agricultural land area","Major livestock types","2016","LSU/ha","0.25"
"Livestock Patterns","Estonia","Livestock units per agricultural land area","Major livestock types","2017","LSU/ha","0.26"
"Livestock Patterns","Estonia","Livestock units per agricultural land area","Major livestock types","2018","LSU/ha","0.26"
"Livestock Patterns","Estonia","Livestock units per agricultural land area","Major livestock types","2019","LSU/ha","0.26"
"Livestock Patterns","Estonia","Livestock units per agricultural land area","Major livestock types","2020","LSU/ha","0.26"
"Livestock Patterns","Finland","Livestock units per agricultural land area","Major livestock types","2006","LSU/ha","0.57"
"Livestock Patterns","Finland","Livestock units per agricultural land area","Major livestock types","2007","LSU/ha","0.57"
"Livestock Patterns","Finland","Livestock units per agricultural land area","Major livestock types","2008","LSU/ha","0.57"
"Livestock Patterns","Finland","Livestock units per agricultural land area","Major livestock types","2009","LSU/ha","0.56"
"Livestock Patterns","Finland","Livestock units per agricultural land area","Major livestock types","2010","LSU/ha","0.56"
"Livestock Patterns","Finland","Livestock units per agricultural land area","Major livestock types","2011","LSU/ha","0.56"
"Livestock Patterns","Finland","Livestock units per agricultural land area","Major livestock types","2012","LSU/ha","0.55"
"Livestock Patterns","Finland","Livestock units per agricultural land area","Major livestock types","2013","LSU/ha","0.57"
"Livestock Patterns","Finland","Livestock units per agricultural land area","Major livestock types","2014","LSU/ha","0.56"
"Livestock Patterns","Finland","Livestock units per agricultural land area","Major livestock types","2015","LSU/ha","0.56"
"Livestock Patterns","Finland","Livestock units per agricultural land area","Major livestock types","2016","LSU/ha","0.56"
"Livestock Patterns","Finland","Livestock units per agricultural land area","Major livestock types","2017","LSU/ha","0.55"
"Livestock Patterns","Finland","Livestock units per agricultural land area","Major livestock types","2018","LSU/ha","0.52"
"Livestock Patterns","Finland","Livestock units per agricultural land area","Major livestock types","2019","LSU/ha","0.52"
"Livestock Patterns","Finland","Livestock units per agricultural land area","Major livestock types","2020","LSU/ha","0.52"
"Livestock Patterns","France","Livestock units per agricultural land area","Major livestock types","2006","LSU/ha","0.83"
"Livestock Patterns","France","Livestock units per agricultural land area","Major livestock types","2007","LSU/ha","0.85"
"Livestock Patterns","France","Livestock units per agricultural land area","Major livestock types","2008","LSU/ha","0.86"
"Livestock Patterns","France","Livestock units per agricultural land area","Major livestock types","2009","LSU/ha","0.85"
"Livestock Patterns","France","Livestock units per agricultural land area","Major livestock types","2010","LSU/ha","0.86"
"Livestock Patterns","France","Livestock units per agricultural land area","Major livestock types","2011","LSU/ha","0.84"
"Livestock Patterns","France","Livestock units per agricultural land area","Major livestock types","2012","LSU/ha","0.84"
"Livestock Patterns","France","Livestock units per agricultural land area","Major livestock types","2013","LSU/ha","0.84"
"Livestock Patterns","France","Livestock units per agricultural land area","Major livestock types","2014","LSU/ha","0.84"
"Livestock Patterns","France","Livestock units per agricultural land area","Major livestock types","2015","LSU/ha","0.85"
"Livestock Patterns","France","Livestock units per agricultural land area","Major livestock types","2016","LSU/ha","0.84"
"Livestock Patterns","France","Livestock units per agricultural land area","Major livestock types","2017","LSU/ha","0.83"
"Livestock Patterns","France","Livestock units per agricultural land area","Major livestock types","2018","LSU/ha","0.83"
"Livestock Patterns","France","Livestock units per agricultural land area","Major livestock types","2019","LSU/ha","0.81"
"Livestock Patterns","France","Livestock units per agricultural land area","Major livestock types","2020","LSU/ha","0.8"
"Livestock Patterns","Germany","Livestock units per agricultural land area","Major livestock types","2006","LSU/ha","1.17"
"Livestock Patterns","Germany","Livestock units per agricultural land area","Major livestock types","2007","LSU/ha","1.18"
"Livestock Patterns","Germany","Livestock units per agricultural land area","Major livestock types","2008","LSU/ha","1.19"
"Livestock Patterns","Germany","Livestock units per agricultural land area","Major livestock types","2009","LSU/ha","1.19"
"Livestock Patterns","Germany","Livestock units per agricultural land area","Major livestock types","2010","LSU/ha","1.19"
"Livestock Patterns","Germany","Livestock units per agricultural land area","Major livestock types","2011","LSU/ha","1.18"
"Livestock Patterns","Germany","Livestock units per agricultural land area","Major livestock types","2012","LSU/ha","1.2"
"Livestock Patterns","Germany","Livestock units per agricultural land area","Major livestock types","2013","LSU/ha","1.22"
"Livestock Patterns","Germany","Livestock units per agricultural land area","Major livestock types","2014","LSU/ha","1.21"
"Livestock Patterns","Germany","Livestock units per agricultural land area","Major livestock types","2015","LSU/ha","1.2"
"Livestock Patterns","Germany","Livestock units per agricultural land area","Major livestock types","2016","LSU/ha","1.21"
"Livestock Patterns","Germany","Livestock units per agricultural land area","Major livestock types","2017","LSU/ha","1.2"
"Livestock Patterns","Germany","Livestock units per agricultural land area","Major livestock types","2018","LSU/ha","1.17"
"Livestock Patterns","Germany","Livestock units per agricultural land area","Major livestock types","2019","LSU/ha","1.14"
"Livestock Patterns","Germany","Livestock units per agricultural land area","Major livestock types","2020","LSU/ha","1.13"
"Livestock Patterns","Greece","Livestock units per agricultural land area","Major livestock types","2006","LSU/ha","0.33"
"Livestock Patterns","Greece","Livestock units per agricultural land area","Major livestock types","2007","LSU/ha","0.33"
"Livestock Patterns","Greece","Livestock units per agricultural land area","Major livestock types","2008","LSU/ha","0.34"
"Livestock Patterns","Greece","Livestock units per agricultural land area","Major livestock types","2009","LSU/ha","0.33"
"Livestock Patterns","Greece","Livestock units per agricultural land area","Major livestock types","2010","LSU/ha","0.34"
"Livestock Patterns","Greece","Livestock units per agricultural land area","Major livestock types","2011","LSU/ha","0.34"
"Livestock Patterns","Greece","Livestock units per agricultural land area","Major livestock types","2012","LSU/ha","0.34"
"Livestock Patterns","Greece","Livestock units per agricultural land area","Major livestock types","2013","LSU/ha","0.34"
"Livestock Patterns","Greece","Livestock units per agricultural land area","Major livestock types","2014","LSU/ha","0.39"
"Livestock Patterns","Greece","Livestock units per agricultural land area","Major livestock types","2015","LSU/ha","0.38"
"Livestock Patterns","Greece","Livestock units per agricultural land area","Major livestock types","2016","LSU/ha","0.39"
"Livestock Patterns","Greece","Livestock units per agricultural land area","Major livestock types","2017","LSU/ha","0.4"
"Livestock Patterns","Greece","Livestock units per agricultural land area","Major livestock types","2018","LSU/ha","0.38"
"Livestock Patterns","Greece","Livestock units per agricultural land area","Major livestock types","2019","LSU/ha","0.38"
"Livestock Patterns","Greece","Livestock units per agricultural land area","Major livestock types","2020","LSU/ha","0.36"
"Livestock Patterns","Hungary","Livestock units per agricultural land area","Major livestock types","2006","LSU/ha","0.33"
"Livestock Patterns","Hungary","Livestock units per agricultural land area","Major livestock types","2007","LSU/ha","0.33"
"Livestock Patterns","Hungary","Livestock units per agricultural land area","Major livestock types","2008","LSU/ha","0.32"
"Livestock Patterns","Hungary","Livestock units per agricultural land area","Major livestock types","2009","LSU/ha","0.3"
"Livestock Patterns","Hungary","Livestock units per agricultural land area","Major livestock types","2010","LSU/ha","0.32"
"Livestock Patterns","Hungary","Livestock units per agricultural land area","Major livestock types","2011","LSU/ha","0.32"
"Livestock Patterns","Hungary","Livestock units per agricultural land area","Major livestock types","2012","LSU/ha","0.31"
"Livestock Patterns","Hungary","Livestock units per agricultural land area","Major livestock types","2013","LSU/ha","0.32"
"Livestock Patterns","Hungary","Livestock units per agricultural land area","Major livestock types","2014","LSU/ha","0.32"
"Livestock Patterns","Hungary","Livestock units per agricultural land area","Major livestock types","2015","LSU/ha","0.33"
"Livestock Patterns","Hungary","Livestock units per agricultural land area","Major livestock types","2016","LSU/ha","0.33"
"Livestock Patterns","Hungary","Livestock units per agricultural land area","Major livestock types","2017","LSU/ha","0.32"
"Livestock Patterns","Hungary","Livestock units per agricultural land area","Major livestock types","2018","LSU/ha","0.33"
"Livestock Patterns","Hungary","Livestock units per agricultural land area","Major livestock types","2019","LSU/ha","0.31"
"Livestock Patterns","Hungary","Livestock units per agricultural land area","Major livestock types","2020","LSU/ha","0.35"
"Livestock Patterns","Ireland","Livestock units per agricultural land area","Major livestock types","2006","LSU/ha","1.76"
"Livestock Patterns","Ireland","Livestock units per agricultural land area","Major livestock types","2007","LSU/ha","1.72"
"Livestock Patterns","Ireland","Livestock units per agricultural land area","Major livestock types","2008","LSU/ha","1.57"
"Livestock Patterns","Ireland","Livestock units per agricultural land area","Major livestock types","2009","LSU/ha","1.58"
