Domain,Area,Element,Item,Year,Unit,Value
"Crops and livestock products","Austria","Yield/Carcass Weight","Game meat, fresh, chilled or frozen","2006","100 g/An","84"
"Crops and livestock products","Austria","Yield/Carcass Weight","Game meat, fresh, chilled or frozen","2007","100 g/An","72"
"Crops and livestock products","Austria","Yield/Carcass Weight","Game meat, fresh, chilled or frozen","2008","100 g/An","79"
"Crops and livestock products","Austria","Yield/Carcass Weight","Game meat, fresh, chilled or frozen","2009","100 g/An","93"
"Crops and livestock products","Austria","Yield/Carcass Weight","Game meat, fresh, chilled or frozen","2010","100 g/An","99"
"Crops and livestock products","Austria","Yield/Carcass Weight","Game meat, fresh, chilled or frozen","2011","100 g/An","90"
"Crops and livestock products","Austria","Yield/Carcass Weight","Game meat, fresh, chilled or frozen","2012","100 g/An","97"
"Crops and livestock products","Austria","Yield/Carcass Weight","Game meat, fresh, chilled or frozen","2013","100 g/An","108"
"Crops and livestock products","Austria","Yield/Carcass Weight","Game meat, fresh, chilled or frozen","2014","100 g/An","102"
"Crops and livestock products","Austria","Yield/Carcass Weight","Game meat, fresh, chilled or frozen","2015","100 g/An","103"
"Crops and livestock products","Austria","Yield/Carcass Weight","Game meat, fresh, chilled or frozen","2016","100 g/An","104"
"Crops and livestock products","Austria","Yield/Carcass Weight","Game meat, fresh, chilled or frozen","2017","100 g/An","107"
"Crops and livestock products","Austria","Yield","Hen eggs in shell, fresh","2006","100 mg/An","163208"
"Crops and livestock products","Austria","Yield","Hen eggs in shell, fresh","2006","No/An","272"
"Crops and livestock products","Austria","Yield","Hen eggs in shell, fresh","2007","100 mg/An","163196"
"Crops and livestock products","Austria","Yield","Hen eggs in shell, fresh","2007","No/An","272"
"Crops and livestock products","Austria","Yield","Hen eggs in shell, fresh","2008","100 mg/An","162589"
"Crops and livestock products","Austria","Yield","Hen eggs in shell, fresh","2008","No/An","271"
"Crops and livestock products","Austria","Yield","Hen eggs in shell, fresh","2009","100 mg/An","165308"
"Crops and livestock products","Austria","Yield","Hen eggs in shell, fresh","2009","No/An","271"
"Crops and livestock products","Austria","Yield","Hen eggs in shell, fresh","2010","100 mg/An","165323"
"Crops and livestock products","Austria","Yield","Hen eggs in shell, fresh","2010","No/An","271"
"Crops and livestock products","Austria","Yield","Hen eggs in shell, fresh","2011","100 mg/An","165316"
"Crops and livestock products","Austria","Yield","Hen eggs in shell, fresh","2011","No/An","271"
"Crops and livestock products","Austria","Yield","Hen eggs in shell, fresh","2012","100 mg/An","166668"
"Crops and livestock products","Austria","Yield","Hen eggs in shell, fresh","2012","No/An","271"
"Crops and livestock products","Austria","Yield","Hen eggs in shell, fresh","2013","100 mg/An","166654"
"Crops and livestock products","Austria","Yield","Hen eggs in shell, fresh","2013","No/An","271"
"Crops and livestock products","Austria","Yield","Hen eggs in shell, fresh","2014","100 mg/An","169137"
"Crops and livestock products","Austria","Yield","Hen eggs in shell, fresh","2014","No/An","275"
"Crops and livestock products","Austria","Yield","Hen eggs in shell, fresh","2015","100 mg/An","169119"
"Crops and livestock products","Austria","Yield","Hen eggs in shell, fresh","2015","No/An","275"
"Crops and livestock products","Austria","Yield","Hen eggs in shell, fresh","2016","100 mg/An","169741"
"Crops and livestock products","Austria","Yield","Hen eggs in shell, fresh","2016","No/An","276"
"Crops and livestock products","Austria","Yield","Hen eggs in shell, fresh","2017","100 mg/An","169744"
"Crops and livestock products","Austria","Yield","Hen eggs in shell, fresh","2017","No/An","276"
"Crops and livestock products","Austria","Yield","Hen eggs in shell, fresh","2018","100 mg/An","171117"
"Crops and livestock products","Austria","Yield","Hen eggs in shell, fresh","2018","No/An","276"
"Crops and livestock products","Austria","Yield","Hen eggs in shell, fresh","2019","100 mg/An","171131"
"Crops and livestock products","Austria","Yield","Hen eggs in shell, fresh","2019","No/An","276"
"Crops and livestock products","Austria","Yield","Hen eggs in shell, fresh","2020","100 mg/An","181700"
"Crops and livestock products","Austria","Yield/Carcass Weight","Horse meat, fresh or chilled","2006","100 g/An","2131"
"Crops and livestock products","Austria","Yield/Carcass Weight","Horse meat, fresh or chilled","2007","100 g/An","2100"
"Crops and livestock products","Austria","Yield/Carcass Weight","Horse meat, fresh or chilled","2008","100 g/An","2060"
"Crops and livestock products","Austria","Yield/Carcass Weight","Horse meat, fresh or chilled","2009","100 g/An","2055"
"Crops and livestock products","Austria","Yield/Carcass Weight","Horse meat, fresh or chilled","2010","100 g/An","2006"
"Crops and livestock products","Austria","Yield/Carcass Weight","Horse meat, fresh or chilled","2011","100 g/An","1934"
"Crops and livestock products","Austria","Yield/Carcass Weight","Horse meat, fresh or chilled","2012","100 g/An","1972"
"Crops and livestock products","Austria","Yield/Carcass Weight","Horse meat, fresh or chilled","2013","100 g/An","1972"
"Crops and livestock products","Austria","Yield/Carcass Weight","Horse meat, fresh or chilled","2014","100 g/An","2089"
"Crops and livestock products","Austria","Yield/Carcass Weight","Horse meat, fresh or chilled","2015","100 g/An","2056"
"Crops and livestock products","Austria","Yield/Carcass Weight","Horse meat, fresh or chilled","2016","100 g/An","1927"
"Crops and livestock products","Austria","Yield/Carcass Weight","Horse meat, fresh or chilled","2017","100 g/An","2015"
"Crops and livestock products","Austria","Yield/Carcass Weight","Horse meat, fresh or chilled","2018","100 g/An","2168"
"Crops and livestock products","Austria","Yield/Carcass Weight","Horse meat, fresh or chilled","2019","100 g/An","2128"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of cattle with the bone, fresh or chilled","2006","100 g/An","3171"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of cattle with the bone, fresh or chilled","2007","100 g/An","3225"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of cattle with the bone, fresh or chilled","2008","100 g/An","3245"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of cattle with the bone, fresh or chilled","2009","100 g/An","3234"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of cattle with the bone, fresh or chilled","2010","100 g/An","3227"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of cattle with the bone, fresh or chilled","2011","100 g/An","3227"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of cattle with the bone, fresh or chilled","2012","100 g/An","3268"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of cattle with the bone, fresh or chilled","2013","100 g/An","3306"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of cattle with the bone, fresh or chilled","2014","100 g/An","3302"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of cattle with the bone, fresh or chilled","2015","100 g/An","3303"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of cattle with the bone, fresh or chilled","2016","100 g/An","3326"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of cattle with the bone, fresh or chilled","2017","100 g/An","3345"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of cattle with the bone, fresh or chilled","2018","100 g/An","3363"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of cattle with the bone, fresh or chilled","2019","100 g/An","3374"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of cattle with the bone, fresh or chilled","2020","100 g/An","3387"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of chickens, fresh or chilled","2006","0.1 g/An","14105"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of chickens, fresh or chilled","2007","0.1 g/An","14109"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of chickens, fresh or chilled","2008","0.1 g/An","14182"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of chickens, fresh or chilled","2009","0.1 g/An","14036"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of chickens, fresh or chilled","2010","0.1 g/An","13838"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of chickens, fresh or chilled","2011","0.1 g/An","14019"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of chickens, fresh or chilled","2012","0.1 g/An","14020"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of chickens, fresh or chilled","2013","0.1 g/An","14173"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of chickens, fresh or chilled","2014","0.1 g/An","14173"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of chickens, fresh or chilled","2015","0.1 g/An","14202"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of chickens, fresh or chilled","2016","0.1 g/An","14274"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of chickens, fresh or chilled","2017","0.1 g/An","14340"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of chickens, fresh or chilled","2018","0.1 g/An","12789"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of chickens, fresh or chilled","2019","0.1 g/An","12735"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of chickens, fresh or chilled","2020","0.1 g/An","12756"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of ducks, fresh or chilled","2006","0.1 g/An","24872"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of ducks, fresh or chilled","2007","0.1 g/An","27179"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of ducks, fresh or chilled","2008","0.1 g/An","26591"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of ducks, fresh or chilled","2009","0.1 g/An","25455"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of ducks, fresh or chilled","2010","0.1 g/An","24364"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of ducks, fresh or chilled","2011","0.1 g/An","25410"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of ducks, fresh or chilled","2012","0.1 g/An","25833"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of ducks, fresh or chilled","2013","0.1 g/An","24792"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of ducks, fresh or chilled","2014","0.1 g/An","25625"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of ducks, fresh or chilled","2015","0.1 g/An","19796"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of ducks, fresh or chilled","2016","0.1 g/An","24490"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of ducks, fresh or chilled","2017","0.1 g/An","25455"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of ducks, fresh or chilled","2018","0.1 g/An","23077"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of ducks, fresh or chilled","2019","0.1 g/An","22222"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of geese, fresh or chilled","2006","0.1 g/An","42041"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of geese, fresh or chilled","2007","0.1 g/An","42179"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of geese, fresh or chilled","2008","0.1 g/An","42045"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of geese, fresh or chilled","2009","0.1 g/An","41860"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of geese, fresh or chilled","2010","0.1 g/An","41395"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of geese, fresh or chilled","2011","0.1 g/An","41236"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of geese, fresh or chilled","2012","0.1 g/An","41875"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of geese, fresh or chilled","2013","0.1 g/An","40825"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of geese, fresh or chilled","2014","0.1 g/An","40833"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of geese, fresh or chilled","2015","0.1 g/An","36226"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of geese, fresh or chilled","2016","0.1 g/An","43396"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of geese, fresh or chilled","2017","0.1 g/An","42149"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of geese, fresh or chilled","2018","0.1 g/An","39850"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of geese, fresh or chilled","2019","0.1 g/An","40441"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of goat, fresh or chilled","2006","100 g/An","140"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of goat, fresh or chilled","2007","100 g/An","138"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of goat, fresh or chilled","2008","100 g/An","129"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of goat, fresh or chilled","2009","100 g/An","135"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of goat, fresh or chilled","2010","100 g/An","136"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of goat, fresh or chilled","2011","100 g/An","127"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of goat, fresh or chilled","2012","100 g/An","130"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of goat, fresh or chilled","2013","100 g/An","131"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of goat, fresh or chilled","2014","100 g/An","123"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of goat, fresh or chilled","2015","100 g/An","129"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of goat, fresh or chilled","2016","100 g/An","125"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of goat, fresh or chilled","2017","100 g/An","125"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of goat, fresh or chilled","2018","100 g/An","125"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of goat, fresh or chilled","2019","100 g/An","124"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of goat, fresh or chilled","2020","100 g/An","124"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of pig with the bone, fresh or chilled","2006","100 g/An","959"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of pig with the bone, fresh or chilled","2007","100 g/An","960"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of pig with the bone, fresh or chilled","2008","100 g/An","959"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of pig with the bone, fresh or chilled","2009","100 g/An","965"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of pig with the bone, fresh or chilled","2010","100 g/An","969"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of pig with the bone, fresh or chilled","2011","100 g/An","972"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of pig with the bone, fresh or chilled","2012","100 g/An","976"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of pig with the bone, fresh or chilled","2013","100 g/An","974"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of pig with the bone, fresh or chilled","2014","100 g/An","975"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of pig with the bone, fresh or chilled","2015","100 g/An","977"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of pig with the bone, fresh or chilled","2016","100 g/An","985"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of pig with the bone, fresh or chilled","2017","100 g/An","987"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of pig with the bone, fresh or chilled","2018","100 g/An","989"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of pig with the bone, fresh or chilled","2019","100 g/An","987"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of pig with the bone, fresh or chilled","2020","100 g/An","993"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of rabbits and hares, fresh or chilled","2006","0.1 g/An","17000"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of rabbits and hares, fresh or chilled","2007","0.1 g/An","17000"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of rabbits and hares, fresh or chilled","2008","0.1 g/An","13600"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of rabbits and hares, fresh or chilled","2009","0.1 g/An","17000"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of rabbits and hares, fresh or chilled","2010","0.1 g/An","17000"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of rabbits and hares, fresh or chilled","2011","0.1 g/An","17000"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of rabbits and hares, fresh or chilled","2012","0.1 g/An","17000"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of rabbits and hares, fresh or chilled","2013","0.1 g/An","17000"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of rabbits and hares, fresh or chilled","2014","0.1 g/An","17000"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of rabbits and hares, fresh or chilled","2015","0.1 g/An","17040"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of rabbits and hares, fresh or chilled","2016","0.1 g/An","28187"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of rabbits and hares, fresh or chilled","2017","0.1 g/An","26691"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of sheep, fresh or chilled","2006","100 g/An","233"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of sheep, fresh or chilled","2007","100 g/An","231"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of sheep, fresh or chilled","2008","100 g/An","228"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of sheep, fresh or chilled","2009","100 g/An","226"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of sheep, fresh or chilled","2010","100 g/An","230"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of sheep, fresh or chilled","2011","100 g/An","231"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of sheep, fresh or chilled","2012","100 g/An","228"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of sheep, fresh or chilled","2013","100 g/An","253"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of sheep, fresh or chilled","2014","100 g/An","252"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of sheep, fresh or chilled","2015","100 g/An","233"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of sheep, fresh or chilled","2016","100 g/An","233"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of sheep, fresh or chilled","2017","100 g/An","246"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of sheep, fresh or chilled","2018","100 g/An","226"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of sheep, fresh or chilled","2019","100 g/An","226"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of sheep, fresh or chilled","2020","100 g/An","224"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of turkeys, fresh or chilled","2006","0.1 g/An","107773"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of turkeys, fresh or chilled","2007","0.1 g/An","107765"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of turkeys, fresh or chilled","2008","0.1 g/An","107782"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of turkeys, fresh or chilled","2009","0.1 g/An","105404"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of turkeys, fresh or chilled","2010","0.1 g/An","107771"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of turkeys, fresh or chilled","2011","0.1 g/An","102833"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of turkeys, fresh or chilled","2012","0.1 g/An","107884"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of turkeys, fresh or chilled","2013","0.1 g/An","106021"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of turkeys, fresh or chilled","2014","0.1 g/An","100414"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of turkeys, fresh or chilled","2015","0.1 g/An","101626"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of turkeys, fresh or chilled","2016","0.1 g/An","108947"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of turkeys, fresh or chilled","2017","0.1 g/An","98758"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of turkeys, fresh or chilled","2018","0.1 g/An","107031"
"Crops and livestock products","Austria","Yield/Carcass Weight","Meat of turkeys, fresh or chilled","2019","0.1 g/An","108633"
"Crops and livestock products","Austria","Yield","Raw hides and skins of cattle","2006","100 g/An","353"
"Crops and livestock products","Austria","Yield","Raw hides and skins of cattle","2007","100 g/An","359"
"Crops and livestock products","Austria","Yield","Raw hides and skins of cattle","2008","100 g/An","361"
"Crops and livestock products","Austria","Yield","Raw hides and skins of cattle","2009","100 g/An","360"
"Crops and livestock products","Austria","Yield","Raw hides and skins of cattle","2010","100 g/An","359"
"Crops and livestock products","Austria","Yield","Raw hides and skins of cattle","2011","100 g/An","359"
"Crops and livestock products","Austria","Yield","Raw hides and skins of cattle","2012","100 g/An","364"
"Crops and livestock products","Austria","Yield","Raw hides and skins of cattle","2013","100 g/An","368"
"Crops and livestock products","Austria","Yield","Raw hides and skins of cattle","2014","100 g/An","368"
"Crops and livestock products","Austria","Yield","Raw hides and skins of cattle","2015","100 g/An","368"
"Crops and livestock products","Austria","Yield","Raw hides and skins of cattle","2016","100 g/An","370"
"Crops and livestock products","Austria","Yield","Raw hides and skins of cattle","2017","100 g/An","372"
"Crops and livestock products","Austria","Yield","Raw hides and skins of goats or kids","2006","100 g/An","42"
"Crops and livestock products","Austria","Yield","Raw hides and skins of goats or kids","2007","100 g/An","41"
"Crops and livestock products","Austria","Yield","Raw hides and skins of goats or kids","2008","100 g/An","39"
"Crops and livestock products","Austria","Yield","Raw hides and skins of goats or kids","2009","100 g/An","41"
"Crops and livestock products","Austria","Yield","Raw hides and skins of goats or kids","2010","100 g/An","41"
"Crops and livestock products","Austria","Yield","Raw hides and skins of goats or kids","2011","100 g/An","38"
"Crops and livestock products","Austria","Yield","Raw hides and skins of goats or kids","2012","100 g/An","39"
"Crops and livestock products","Austria","Yield","Raw hides and skins of goats or kids","2013","100 g/An","39"
