Domain,Area,Element,Item,Year,Unit,Value
"Crops and livestock products","European Union (27)","Area harvested","Cereals, primary","1961","ha","61662409"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1961","t","119116426"
"Crops and livestock products","European Union (27)","Area harvested","Cereals, primary","1962","ha","61769075"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1962","t","128400575"
"Crops and livestock products","European Union (27)","Area harvested","Cereals, primary","1963","ha","61079598"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1963","t","127942992"
"Crops and livestock products","European Union (27)","Area harvested","Cereals, primary","1964","ha","61125895"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1964","t","133132342"
"Crops and livestock products","European Union (27)","Area harvested","Cereals, primary","1965","ha","60727410"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1965","t","139318917"
"Crops and livestock products","European Union (27)","Area harvested","Cereals, primary","1966","ha","59954878"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1966","t","138292559"
"Crops and livestock products","European Union (27)","Area harvested","Cereals, primary","1967","ha","59888506"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1967","t","154368174"
"Crops and livestock products","European Union (27)","Area harvested","Cereals, primary","1968","ha","60747430"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1968","t","158271653"
"Crops and livestock products","European Union (27)","Area harvested","Cereals, primary","1969","ha","60786284"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1969","t","159776442"
"Crops and livestock products","European Union (27)","Area harvested","Cereals, primary","1970","ha","59569014"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1970","t","149702901"
"Crops and livestock products","European Union (27)","Area harvested","Cereals, primary","1971","ha","59999874"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1971","t","176932520"
"Crops and livestock products","European Union (27)","Area harvested","Cereals, primary","1972","ha","60226102"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1972","t","181932688"
