Domain,Area,Element,Months,Year,Unit,Value
"Temperature change on land","Afghanistan","Temperature change","Meteorological year","2000","°c","1.064"
"Temperature change on land","Afghanistan","Temperature change","Meteorological year","2001","°c","1.377"
"Temperature change on land","Afghanistan","Temperature change","Meteorological year","2002","°c","1.457"
"Temperature change on land","Afghanistan","Temperature change","Meteorological year","2003","°c","0.71"
"Temperature change on land","Afghanistan","Temperature change","Meteorological year","2004","°c","1.482"
"Temperature change on land","Afghanistan","Temperature change","Meteorological year","2005","°c","0.513"
"Temperature change on land","Afghanistan","Temperature change","Meteorological year","2006","°c","1.838"
"Temperature change on land","Afghanistan","Temperature change","Meteorological year","2007","°c","0.794"
"Temperature change on land","Afghanistan","Temperature change","Meteorological year","2008","°c","0.808"
"Temperature change on land","Afghanistan","Temperature change","Meteorological year","2009","°c","0.948"
"Temperature change on land","Afghanistan","Temperature change","Meteorological year","2010","°c","1.664"
"Temperature change on land","Afghanistan","Temperature change","Meteorological year","2011","°c","1.455"
"Temperature change on land","Afghanistan","Temperature change","Meteorological year","2012","°c","0.271"
"Temperature change on land","Afghanistan","Temperature change","Meteorological year","2013","°c","1.345"
"Temperature change on land","Afghanistan","Temperature change","Meteorological year","2014","°c","0.521"
"Temperature change on land","Afghanistan","Temperature change","Meteorological year","2015","°c","1.204"
"Temperature change on land","Afghanistan","Temperature change","Meteorological year","2016","°c","1.612"
"Temperature change on land","Afghanistan","Temperature change","Meteorological year","2017","°c","1.642"
"Temperature change on land","Afghanistan","Temperature change","Meteorological year","2018","°c","1.624"
"Temperature change on land","Afghanistan","Temperature change","Meteorological year","2019","°c","0.991"
"Temperature change on land","Afghanistan","Temperature change","Meteorological year","2020","°c","0.587"
"Temperature change on land","Afghanistan","Temperature change","Meteorological year","2021","°c","1.475"
"Temperature change on land","Albania","Temperature change","Meteorological year","2000","°c","1.084"
"Temperature change on land","Albania","Temperature change","Meteorological year","2001","°c","1.551"
"Temperature change on land","Albania","Temperature change","Meteorological year","2002","°c","0.519"
"Temperature change on land","Albania","Temperature change","Meteorological year","2003","°c","1.026"
"Temperature change on land","Albania","Temperature change","Meteorological year","2004","°c","0.472"
"Temperature change on land","Albania","Temperature change","Meteorological year","2005","°c","0.217"
"Temperature change on land","Albania","Temperature change","Meteorological year","2006","°c","0.39"
"Temperature change on land","Albania","Temperature change","Meteorological year","2007","°c","1.389"
"Temperature change on land","Albania","Temperature change","Meteorological year","2008","°c","1.043"
"Temperature change on land","Albania","Temperature change","Meteorological year","2009","°c","0.977"
"Temperature change on land","Albania","Temperature change","Meteorological year","2010","°c","1.261"
"Temperature change on land","Albania","Temperature change","Meteorological year","2011","°c","1.125"
"Temperature change on land","Albania","Temperature change","Meteorological year","2012","°c","1.546"
"Temperature change on land","Albania","Temperature change","Meteorological year","2013","°c","1.394"
"Temperature change on land","Albania","Temperature change","Meteorological year","2014","°c","1.285"
"Temperature change on land","Albania","Temperature change","Meteorological year","2015","°c","1.667"
