Domain,Area,Element,Months,Year,Unit,Value
"Temperature change on land","Austria","Temperature change","Jun–Jul–Aug","1961","°c","-0.096"
"Temperature change on land","Austria","Temperature change","Jun–Jul–Aug","1962","°c","-0.506"
"Temperature change on land","Austria","Temperature change","Jun–Jul–Aug","1963","°c","0.63"
"Temperature change on land","Austria","Temperature change","Jun–Jul–Aug","1964","°c","0.701"
"Temperature change on land","Austria","Temperature change","Jun–Jul–Aug","1965","°c","-0.736"
"Temperature change on land","Austria","Temperature change","Jun–Jul–Aug","1966","°c","-0.493"
"Temperature change on land","Austria","Temperature change","Jun–Jul–Aug","1967","°c","0.52"
"Temperature change on land","Austria","Temperature change","Jun–Jul–Aug","1968","°c","-0.348"
"Temperature change on land","Austria","Temperature change","Jun–Jul–Aug","1969","°c","-0.44"
"Temperature change on land","Austria","Temperature change","Jun–Jul–Aug","1970","°c","0.444"
"Temperature change on land","Austria","Temperature change","Jun–Jul–Aug","1971","°c","0.595"
"Temperature change on land","Austria","Temperature change","Jun–Jul–Aug","1972","°c","-0.028"
"Temperature change on land","Austria","Temperature change","Jun–Jul–Aug","1973","°c","0.53"
"Temperature change on land","Austria","Temperature change","Jun–Jul–Aug","1974","°c","-0.136"
"Temperature change on land","Austria","Temperature change","Jun–Jul–Aug","1975","°c","-0.002"
"Temperature change on land","Austria","Temperature change","Jun–Jul–Aug","1976","°c","0.12"
"Temperature change on land","Austria","Temperature change","Jun–Jul–Aug","1977","°c","-0.061"
"Temperature change on land","Austria","Temperature change","Jun–Jul–Aug","1978","°c","-1.052"
"Temperature change on land","Austria","Temperature change","Jun–Jul–Aug","1979","°c","-0.128"
"Temperature change on land","Austria","Temperature change","Jun–Jul–Aug","1980","°c","-0.427"
"Temperature change on land","Austria","Temperature change","Jun–Jul–Aug","1981","°c","0.267"
"Temperature change on land","Austria","Temperature change","Jun–Jul–Aug","1982","°c","1.146"
"Temperature change on land","Austria","Temperature change","Jun–Jul–Aug","1983","°c","1.756"
"Temperature change on land","Austria","Temperature change","Jun–Jul–Aug","1984","°c","-0.53"
"Temperature change on land","Austria","Temperature change","Jun–Jul–Aug","1985","°c","0.146"
"Temperature change on land","Austria","Temperature change","Jun–Jul–Aug","1986","°c","0.286"
