Domain,Area,Element,Item,Year,Unit,Value
"Crops and livestock products","Austria","Yield","Barley","2006","100 g/ha","44276"
"Crops and livestock products","Austria","Yield","Barley","2007","100 g/ha","41948"
"Crops and livestock products","Austria","Yield","Barley","2008","100 g/ha","52079"
"Crops and livestock products","Austria","Yield","Barley","2009","100 g/ha","46005"
"Crops and livestock products","Austria","Yield","Barley","2010","100 g/ha","46063"
"Crops and livestock products","Austria","Yield","Barley","2011","100 g/ha","56064"
"Crops and livestock products","Austria","Yield","Barley","2012","100 g/ha","43995"
"Crops and livestock products","Austria","Yield","Barley","2013","100 g/ha","51486"
"Crops and livestock products","Austria","Yield","Barley","2014","100 g/ha","57994"
"Crops and livestock products","Austria","Yield","Barley","2015","100 g/ha","55376"
"Crops and livestock products","Austria","Yield","Barley","2016","100 g/ha","61221"
"Crops and livestock products","Austria","Yield","Barley","2017","100 g/ha","56300"
"Crops and livestock products","Austria","Yield","Barley","2018","100 g/ha","49618"
"Crops and livestock products","Austria","Yield","Barley","2019","100 g/ha","60342"
"Crops and livestock products","Austria","Yield","Barley","2020","100 g/ha","64159"
"Crops and livestock products","Austria","Yield","Maize (corn)","2006","100 g/ha","96370"
"Crops and livestock products","Austria","Yield","Maize (corn)","2007","100 g/ha","103128"
"Crops and livestock products","Austria","Yield","Maize (corn)","2008","100 g/ha","113173"
"Crops and livestock products","Austria","Yield","Maize (corn)","2009","100 g/ha","108293"
"Crops and livestock products","Austria","Yield","Maize (corn)","2010","100 g/ha","97247"
"Crops and livestock products","Austria","Yield","Maize (corn)","2011","100 g/ha","112996"
"Crops and livestock products","Austria","Yield","Maize (corn)","2012","100 g/ha","107025"
"Crops and livestock products","Austria","Yield","Maize (corn)","2013","100 g/ha","81173"
"Crops and livestock products","Austria","Yield","Maize (corn)","2014","100 g/ha","107915"
"Crops and livestock products","Austria","Yield","Maize (corn)","2015","100 g/ha","86787"
"Crops and livestock products","Austria","Yield","Maize (corn)","2016","100 g/ha","111629"
"Crops and livestock products","Austria","Yield","Maize (corn)","2017","100 g/ha","99104"
