Domain,Area,Element,Item,Year,Value
"Crops and livestock products","European Union (27)","Yield","Cereals, primary","1961","19318"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1961","119116426"
"Crops and livestock products","European Union (27)","Yield","Cereals, primary","1962","20787"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1962","128400575"
"Crops and livestock products","European Union (27)","Yield","Cereals, primary","1963","20947"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1963","127942992"
"Crops and livestock products","European Union (27)","Yield","Cereals, primary","1964","21780"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1964","133132342"
"Crops and livestock products","European Union (27)","Yield","Cereals, primary","1965","22942"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1965","139318917"
"Crops and livestock products","European Union (27)","Yield","Cereals, primary","1966","23066"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1966","138292559"
"Crops and livestock products","European Union (27)","Yield","Cereals, primary","1967","25776"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1967","154368174"
"Crops and livestock products","European Union (27)","Yield","Cereals, primary","1968","26054"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1968","158271653"
"Crops and livestock products","European Union (27)","Yield","Cereals, primary","1969","26285"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1969","159776442"
"Crops and livestock products","European Union (27)","Yield","Cereals, primary","1970","25131"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1970","149702901"
"Crops and livestock products","European Union (27)","Yield","Cereals, primary","1971","29489"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1971","176932520"
"Crops and livestock products","European Union (27)","Yield","Cereals, primary","1972","30208"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1972","181932688"
"Crops and livestock products","European Union (27)","Yield","Cereals, primary","1973","30919"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1973","182607655"
"Crops and livestock products","European Union (27)","Yield","Cereals, primary","1974","32003"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1974","190144914"
"Crops and livestock products","European Union (27)","Yield","Cereals, primary","1975","30558"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1975","179886147"
"Crops and livestock products","European Union (27)","Yield","Cereals, primary","1976","30371"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1976","179453384"
"Crops and livestock products","European Union (27)","Yield","Cereals, primary","1977","31774"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1977","184771110"
"Crops and livestock products","European Union (27)","Yield","Cereals, primary","1978","34705"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1978","205673342"
"Crops and livestock products","European Union (27)","Yield","Cereals, primary","1979","33124"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1979","194685776"
"Crops and livestock products","European Union (27)","Yield","Cereals, primary","1980","35515"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1980","209500189"
"Crops and livestock products","European Union (27)","Yield","Cereals, primary","1981","33945"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1981","196730430"
"Crops and livestock products","European Union (27)","Yield","Cereals, primary","1982","37062"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1982","215931953"
"Crops and livestock products","European Union (27)","Yield","Cereals, primary","1983","35355"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1983","204610619"
"Crops and livestock products","European Union (27)","Yield","Cereals, primary","1984","42017"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1984","245095901"
"Crops and livestock products","European Union (27)","Yield","Cereals, primary","1985","39919"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1985","229902339"
"Crops and livestock products","European Union (27)","Yield","Cereals, primary","1986","39205"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1986","225450889"
"Crops and livestock products","European Union (27)","Yield","Cereals, primary","1987","39538"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1987","223603885"
"Crops and livestock products","European Union (27)","Yield","Cereals, primary","1988","41529"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1988","234713292"
"Crops and livestock products","European Union (27)","Yield","Cereals, primary","1989","41970"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1989","238177491"
"Crops and livestock products","European Union (27)","Yield","Cereals, primary","1990","41977"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1990","231805149.8"
"Crops and livestock products","European Union (27)","Yield","Cereals, primary","1991","44205"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1991","246587542.24"
"Crops and livestock products","European Union (27)","Yield","Cereals, primary","1992","37663"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1992","214941993.88"
"Crops and livestock products","European Union (27)","Yield","Cereals, primary","1993","39971"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1993","231859433.53"
"Crops and livestock products","European Union (27)","Yield","Cereals, primary","1994","40105"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1994","231551870.78"
"Crops and livestock products","European Union (27)","Yield","Cereals, primary","1995","41270"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1995","238180844.34"
"Crops and livestock products","European Union (27)","Yield","Cereals, primary","1996","44007"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1996","255778704.88"
"Crops and livestock products","European Union (27)","Yield","Cereals, primary","1997","44929"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1997","271391503.13"
"Crops and livestock products","European Union (27)","Yield","Cereals, primary","1998","45488"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1998","269620689.55"
"Crops and livestock products","European Union (27)","Yield","Cereals, primary","1999","45409"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","1999","257160321.15"
"Crops and livestock products","European Union (27)","Yield","Cereals, primary","2000","43977"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","2000","256044370"
"Crops and livestock products","European Union (27)","Yield","Cereals, primary","2001","45564"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","2001","268748933.68"
"Crops and livestock products","European Union (27)","Yield","Cereals, primary","2002","46054"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","2002","269371969.68"
"Crops and livestock products","European Union (27)","Yield","Cereals, primary","2003","41447"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","2003","232621590.26"
"Crops and livestock products","European Union (27)","Yield","Cereals, primary","2004","52383"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","2004","306271155.45"
"Crops and livestock products","European Union (27)","Yield","Cereals, primary","2005","47115"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","2005","269828444.96"
"Crops and livestock products","European Union (27)","Yield","Cereals, primary","2006","45620"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","2006","252215990.84"
"Crops and livestock products","European Union (27)","Yield","Cereals, primary","2007","44911"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","2007","246391408.72"
"Crops and livestock products","European Union (27)","Yield","Cereals, primary","2008","51060"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","2008","296193332.13"
"Crops and livestock products","European Union (27)","Yield","Cereals, primary","2009","49690"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","2009","280518297.11"
"Crops and livestock products","European Union (27)","Yield","Cereals, primary","2010","49160"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","2010","263420029.95"
"Crops and livestock products","European Union (27)","Yield","Cereals, primary","2011","50610"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","2011","273333535.96"
"Crops and livestock products","European Union (27)","Yield","Cereals, primary","2012","48213"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","2012","265402639.42"
"Crops and livestock products","European Union (27)","Yield","Cereals, primary","2013","52534"
"Crops and livestock products","European Union (27)","Production","Cereals, primary","2013","289480200.46"
